4312s - 2008 through 2011									
Filled Catalog Item Name: KIT - COMMAND REPEATER AND Inc Calendar Year: 									
Inc Number: Ascending order; Req Number Sort Key: Ascending order									
Inc Calendar Year: 2008									
Inc GACC Org Name: Northern California Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-77	KIt Command Repeater-4312-C067 (4312) (ID-FCK)	ID-FCK	"Jun 23, 2008 3:30:00 PM"	"Aug 21, 2008 8:05:00 AM"	60
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-78	Kit Command Repeater-4312-C066 - C20 (ID-FCK)	ID-FCK	"Aug 12, 2008 7:48:58 AM"	"Aug 21, 2008 8:05:00 AM"	10
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-216	Kit Command Repeater-4312-C053 (ID-FCK)	ID-FCK	"Jun 29, 2008 8:40:00 PM"	"Aug 21, 2008 8:05:00 AM"	54
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-281	Kit Command Repeater-4312-C034 (ID-FCK)	ID-FCK	"Jun 30, 2008 3:50:00 PM"	"Aug 21, 2008 8:05:00 AM"	53
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-282	Kit Command Repeater-4312-C143 (ID-FCK)	ID-FCK	"Jun 30, 2008 3:50:00 PM"	"Aug 21, 2008 8:05:00 AM"	53
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-440	Kit Command Repeater-4312-C192  (ID-FCK)	ID-FCK	"Jul 16, 2008 9:20:00 AM"	"Aug 21, 2008 8:05:00 AM"	37
Plumas ECC	CA-PNF-000539	CANYON COMPLEX	Fire - Wildfire	E-579	Kit Command Repeater-4312-C193 (ID-FCK)	ID-FCK	"Jul 30, 2008 7:00:00 AM"	"Aug 7, 2008 10:30:00 AM"	9
Redding Interagency ECC	CA-SHF-001057	IRON COMPLEX	Fire - Wildfire	E-6.7	Kit Command Repeater-4312-C002 - (C-8) (ID-FCK)	ID-FCK	"Jun 23, 2008 9:30:00 AM"	"Sep 2, 2008 11:05:00 AM"	72
Redding Interagency ECC	CA-SHF-001057	IRON COMPLEX	Fire - Wildfire	E-26	Kit Command Repeater-4312-C197 - C9 (ID-FCK)	ID-FCK	"Jun 22, 2008 6:45:00 PM"	"Oct 6, 2008 4:35:00 PM"	107
Redding Interagency ECC	CA-SHF-001057	IRON COMPLEX	Fire - Wildfire	E-27	Kit Command Repeater-4312-C056 - C9 (ID-FCK)	ID-FCK	"Jun 22, 2008 6:45:00 PM"	"Sep 25, 2008 1:05:00 PM"	96
Redding Interagency ECC	CA-SHF-001057	IRON COMPLEX	Fire - Wildfire	E-309	Kit Command Repeater-4312-C196 (ID-FCK)	ID-FCK	"Jul 3, 2008 7:15:00 AM"	"Sep 2, 2008 1:05:00 PM"	62
Redding Interagency ECC	CA-SHF-001057	IRON COMPLEX	Fire - Wildfire	E-417	Kit Command Repeater-4312-C144  (ID-FCK)	ID-FCK	"Jul 12, 2008 11:35:00 AM"	"Sep 4, 2008 10:00:00 PM"	55
Redding Interagency ECC	CA-SHF-001057	IRON COMPLEX	Fire - Wildfire	E-758	Kit Command Repeater-4312-C045 (ID-FCK)	ID-FCK	"Aug 6, 2008 2:00:00 PM"	"Aug 14, 2008 10:00:00 AM"	9
Grass Valley Interagency ECC	CA-TNF-001011	AMERICAN RIVER COMPLEX	Fire - Wildfire	E-103.9	Kit Command Repeater-4312-C025 (4312) (ID-FCK)	ID-FCK	"Jun 26, 2008 3:15:00 PM"	"Jul 22, 2008 12:00:00 PM"	27
Grass Valley Interagency ECC	CA-TNF-001011	AMERICAN RIVER COMPLEX	Fire - Wildfire	E-125	Kit Command Repeater-4312-C147 (ID-FCK)	ID-FCK	"Jun 28, 2008 4:30:00 PM"	"Jul 22, 2008 12:00:00 PM"	25
Grass Valley Interagency ECC	CA-TNF-001011	AMERICAN RIVER COMPLEX	Fire - Wildfire	E-352	Kit Command Repeater-4312-C096 - C14 (ID-FCK)	ID-FCK	"Jul 14, 2008 7:00:00 AM"	"Jul 22, 2008 12:00:00 PM"	9
Grass Valley Interagency ECC	CA-TNF-001011	AMERICAN RIVER COMPLEX	Fire - Wildfire	E-400	TNF F4 Repeater (Tone 11) (CA-GVCC)	CA-TNF	"Jul 24, 2008 4:17:39 PM"	"Aug 6, 2008 2:45:04 PM"	14
Grass Valley Interagency ECC	CA-TNF-001015	YUBA RIVER COMPLEX	Fire - Wildfire	E-16.4	Kit Command Repeater-4312-C162 (ID-FCK)	ID-FCK	"Jun 23, 2008 9:40:00 PM"	"Jul 5, 2008 4:00:00 PM"	13
Grass Valley Interagency ECC	CA-TNF-001015	YUBA RIVER COMPLEX	Fire - Wildfire	E-120	Kit Command Repeater-4312-C096 - C14 (ID-FCK)	ID-FCK	"Jun 24, 2008 7:50:00 PM"	"Jul 2, 2008 4:00:00 PM"	9
Grass Valley Interagency ECC	CA-TNF-001015	YUBA RIVER COMPLEX	Fire - Wildfire	E-121	Kit Command Repeater-4312-C064 (4312) (ID-FCK)	ID-FCK	"Jun 24, 2008 7:50:00 PM"	"Jul 5, 2008 2:00:00 PM"	12
Inc GACC Org Name: Northwest Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Columbia Cascade Communication Center	OR-MHF-000014	GNARL RIDGE	Fire - Wildfire	E-1.4	Kit Command Repeater-4312-C085 (4312) (ID-FCK)	ID-FCK	"Aug 9, 2008 12:30:00 PM"	"Aug 23, 2008 4:00:00 PM"	15
Columbia Cascade Communication Center	OR-MHF-000014	GNARL RIDGE	Fire - Wildfire	E-39	Kit Command Repeater-4312-C126 - NPRA2 (ID-FCK)	ID-FCK	"Aug 10, 2008 2:00:00 PM"	"Aug 23, 2008 4:00:00 PM"	14
Columbia Cascade Communication Center	OR-MHF-000014	GNARL RIDGE	Fire - Wildfire	E-58	Kit Command Repeater-4312-C105 - C19 (ID-FCK)	ID-FCK	"Aug 12, 2008 11:50:00 AM"	"Aug 23, 2008 4:00:00 PM"	12
Columbia Cascade Communication Center	OR-MHF-000014	GNARL RIDGE	Fire - Wildfire	E-96.9	Kit Command Repeater-4312-C105 - C19 (ID-FCK)	ID-FCK	"Sep 17, 2008 9:15:00 AM"	"Oct 2, 2008 2:00:00 PM"	16
Columbia Cascade Communication Center	OR-MHF-000014	GNARL RIDGE	Fire - Wildfire	E-162	Kit Command Repeater-4312-C126 - NPRA2 (ID-FCK)	ID-FCK	"Sep 18, 2008 12:05:00 PM"	"Nov 21, 2008 10:10:00 AM"	65
Medford Interagency Communication Center	OR-RSF-008229	LONESOME COMPLEX	Fire - Wildfire	E-40.8	Kit Command Repeater-4312-C182 - (C12) (ID-FCK)	ID-FCK	"Sep 10, 2008 6:45:00 AM"	"Oct 9, 2008 4:00:00 PM"	30
Medford Interagency Communication Center	OR-RSF-008229	LONESOME COMPLEX	Fire - Wildfire	E-50	Kit Command Repeater-4312-C117 - NPRA4 (ID-FCK)	ID-FCK	"Sep 10, 2008 11:05:00 AM"	"Oct 8, 2008 6:35:00 PM"	29
Medford Interagency Communication Center	OR-RSF-008229	LONESOME COMPLEX	Fire - Wildfire	E-96	KIt Command Repeater-4312-C067 (4312) (ID-FCK)	ID-FCK	"Sep 13, 2008 3:40:00 PM"	"Sep 15, 2008 3:35:00 PM"	3
Medford Interagency Communication Center	OR-RSF-008229	LONESOME COMPLEX	Fire - Wildfire	E-128	Kit Command Repeater-4312-C066 - C20 (ID-FCK)	ID-FCK	"Sep 17, 2008 3:40:00 PM"	"Oct 8, 2008 6:00:00 PM"	22
Medford Interagency Communication Center	OR-RSF-008229	LONESOME COMPLEX	Fire - Wildfire	E-253	Kit Command Repeater-4312-C014 (4312) (ID-FCK)	ID-FCK	"Sep 27, 2008 5:05:00 PM"	"Oct 2, 2008 6:00:00 PM"	6
Umpqua National Forest Dispatch	OR-UPF-008209	RATTLE	Fire - Wildfire	E-71.5	Kit Command Repeater-4312-C061 (4312) (ID-FCK)	ID-FCK	"Sep 7, 2008 8:00:00 AM"	"Oct 17, 2008 10:00:00 AM"	41
Umpqua National Forest Dispatch	OR-UPF-008209	RATTLE	Fire - Wildfire	E-139	Kit Command Repeater-4312-C033 - C11 (ID-FCK)	ID-FCK	"Sep 6, 2008 7:45:00 AM"	"Oct 17, 2008 10:00:00 AM"	42
Umpqua National Forest Dispatch	OR-UPF-008209	RATTLE	Fire - Wildfire	E-184	Kit Command Repeater-4312-C154 (4312) (ID-FCK)	ID-FCK	"Sep 13, 2008 11:05:00 AM"	"Sep 15, 2008 3:45:00 PM"	3
Umpqua National Forest Dispatch	OR-UPF-008209	RATTLE	Fire - Wildfire	E-213	Kit Command Repeater-4312-C047 -NRPA1 (ID-FCK)	ID-FCK	"Sep 17, 2008 5:05:00 PM"	"Oct 17, 2008 10:00:00 AM"	31
Columbia Cascade Communication Center	WA-GPF-000005	COLD SPRINGS	Fire - Wildfire	E-10.9	Kit Command Repeater-4312-C071 (4312) (ID-FCK)	ID-FCK	"Jul 14, 2008 9:20:00 AM"	"Jul 25, 2008 4:00:00 PM"	12
Columbia Cascade Communication Center	WA-GPF-000005	COLD SPRINGS	Fire - Wildfire	E-138	Kit Command Repeater-4312-C051 (ID-FCK)	ID-FCK	"Jul 15, 2008 4:15:00 PM"	"Jul 26, 2008 4:00:00 PM"	12
Columbia Cascade Communication Center	WA-GPF-000005	COLD SPRINGS	Fire - Wildfire	E-207	Kit Command Repeater-4312-C157 - C18 (ID-FCK)	ID-FCK	"Jul 16, 2008 8:20:00 PM"	"Jul 24, 2008 10:30:00 AM"	9
Inc GACC Org Name: Rocky Mountain Area Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Fort Collins Interagency Dispatch Center	CO-ARF-008417	PARADISE	Fire - Wildfire	E-18	Portable Repeater Kit (CO-FTC)	CO-ARF	"Nov 25, 2008 7:00:00 AM"	"Dec 2, 2008 12:00:00 PM"	8
Inc GACC Org Name: Southern Area Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Southern Area Coordination Center	GA-R08-090001	2009 REGION 8  SUPPORT	Preparedness/Preposition	E-3.5	Kit Command Repeater-4312-C173 (4312) (ID-FCK)	ID-FCK	"Oct 1, 2008 8:00:00 AM"	"Dec 17, 2008 1:00:00 PM"	78
Southern Area Coordination Center	GA-R08-090001	2009 REGION 8  SUPPORT	Preparedness/Preposition	E-4.2	Kit Command Repeater-4312-C062 (4312) (ID-FCK)	ID-FCK	"Oct 1, 2008 8:00:00 AM"	"May 5, 2009 12:00:00 AM"	216
Southern Area Coordination Center	GA-R08-090001	2009 REGION 8  SUPPORT	Preparedness/Preposition	E-4.2	Kit Command Repeater-4312-C062 (4312) (ID-FCK)	ID-FCK	"Oct 1, 2008 8:00:00 AM"	"May 5, 2009 12:00:00 AM"	217
Southern Area Coordination Center	GA-R08-090001	2009 REGION 8  SUPPORT	Preparedness/Preposition	E-5.7	Kit Command Repeater-4312-C043 (4312) (ID-FCK)	ID-FCK	"Feb 3, 2009 10:10:00 AM"	"Apr 25, 2009 12:00:00 PM"	82
Southern Area Coordination Center	GA-R08-090003	2009 SA/R8  PREPAREDNESS-STAGING	Preparedness/Preposition	E-6.3	Kit Command Repeater-4312-C092 (4312) (ID-FCK)	ID-FCK	"Apr 28, 2009 4:30:00 PM"	"Oct 8, 2009 9:11:19 AM"	164
Southern Area Coordination Center	GA-R08-090003	2009 SA/R8  PREPAREDNESS-STAGING	Preparedness/Preposition	E-7.9	Kit Command Repeater-4312-C104 (4312) (ID-FCK)	ID-FCK	"Apr 28, 2009 4:30:00 PM"	"Oct 8, 2009 9:13:16 AM"	164
Inc GACC Org Name: Southern California Coordination Center									
Inc Disp Org Name	Inc Number	Inc Name	Inc Type	Req Number	Assignment Name	Res Prov Org Unit Code	Mob ETD	Demob ETA	Days Assigned
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20054.1	Kit Command Repeater-4312-C101 (ID-FCK)	ID-FCK	"Jul 3, 2008 10:00:00 PM"	"Jul 7, 2008 11:45:00 AM"	5
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20105	Kit Command Repeater-4312-C146 - C8 (4312) (ID-FCK)	ID-FCK	"Jul 3, 2008 10:00:00 PM"	"Aug 19, 2008 9:20:00 PM"	48
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20183	Kit Command Repeater-4312-C187 (4312) (ID-FCK)	ID-FCK	"Jul 3, 2008 10:00:00 PM"	"Aug 22, 2008 9:50:00 PM"	51
Los Padres ECC	CA-LPF-001715	EAST BASIN COMPLEX	Fire - Wildfire	E-20271	Kit Command Repeater-4312-C074 (4312) (ID-FCK)	ID-FCK	"Jul 3, 2008 10:00:00 PM"	"Aug 22, 2008 9:50:00 PM"	51
